lat,lon,distance_km,duration_mins
28.526,77.3323,14.48,28.25
28.526,77.339992,9.95,24.11
28.526,77.347685,10.06,19.57
28.526,77.355377,9.48,22.85
28.526,77.363069,7.83,16.96
28.526,77.370762,7.43,14.76
28.526,77.378454,7.98,16.76
28.526,77.386146,7.34,15.26
28.526,77.393838,8.69,17.06
28.526,77.401531,8.41,17.54
28.526,77.409223,9.05,19.9
28.526,77.416915,11.26,22.98
28.526,77.424608,12.3,21.72
28.526,77.4323,11.7,22.44
28.533692,77.3323,10.82,24.04
28.533692,77.339992,9.89,21.94
28.533692,77.347685,9.15,18.15
28.533692,77.355377,7.38,14.66
28.533692,77.363069,6.85,14.38
28.533692,77.370762,6.62,15.7
28.533692,77.378454,8.68,17.7
28.533692,77.386146,6.14,14.45
28.533692,77.393838,6.96,13.63
28.533692,77.401531,7.53,14.6
28.533692,77.409223,8.73,17.13
28.533692,77.416915,9.88,18.43
28.533692,77.424608,12.56,22.29
28.533692,77.4323,10.55,20.26
28.541385,77.3323,11.86,19.97
28.541385,77.339992,9.18,18.26
28.541385,77.347685,8.45,17.95
28.541385,77.355377,6.51,15.16
28.541385,77.363069,5.96,13.39
28.541385,77.370762,5.11,11.69
28.541385,77.378454,5.31,12.8
28.541385,77.386146,5.07,11.45
28.541385,77.393838,7.59,15.71
28.541385,77.401531,7.92,16.99
28.541385,77.409223,8.28,16.96
28.541385,77.416915,9.35,17.11
28.541385,77.424608,13.73,30.83
28.541385,77.4323,12.92,25.98
28.549077,77.3323,10.54,18.67
28.549077,77.339992,9.01,19.32
28.549077,77.347685,8.48,18.38
28.549077,77.355377,6.76,14.96
28.549077,77.363069,6.08,13.78
28.549077,77.370762,5.58,13.03
28.549077,77.378454,4.38,10.0
28.549077,77.386146,4.88,13.37
28.549077,77.393838,4.85,14.33
28.549077,77.401531,6.39,16.39
28.549077,77.409223,7.61,15.85
28.549077,77.416915,7.27,16.52
28.549077,77.424608,14.1,33.18
28.549077,77.4323,13.73,29.35
28.556769,77.3323,8.57,17.21
28.556769,77.339992,8.56,18.06
28.556769,77.347685,8.2,17.1
28.556769,77.355377,7.09,15.24
28.556769,77.363069,6.38,15.07
28.556769,77.370762,5.02,11.45
28.556769,77.378454,2.9,6.91
28.556769,77.386146,3.18,9.04
28.556769,77.393838,4.76,12.93
28.556769,77.401531,5.25,12.15
28.556769,77.409223,5.76,13.25
28.556769,77.416915,7.38,18.18
28.556769,77.424608,8.05,21.95
28.556769,77.4323,10.76,26.2
28.564462,77.3323,8.69,18.29
28.564462,77.339992,7.56,15.44
28.564462,77.347685,6.95,15.84
28.564462,77.355377,7.48,15.46
28.564462,77.363069,7.28,15.29
28.564462,77.370762,3.56,12.41
28.564462,77.378454,2.68,7.11
28.564462,77.386146,2.64,6.49
28.564462,77.393838,3.68,8.33
28.564462,77.401531,4.18,9.25
28.564462,77.409223,5.24,12.97
28.564462,77.416915,5.69,14.1
28.564462,77.424608,9.54,20.39
28.564462,77.4323,9.56,19.22
28.572154,77.3323,9.6,19.57
28.572154,77.339992,7.68,16.52
28.572154,77.347685,6.73,14.73
28.572154,77.355377,5.74,13.12
28.572154,77.363069,3.82,11.19
28.572154,77.370762,4.21,12.94
28.572154,77.378454,1.91,5.28
28.572154,77.386146,0.89,4.64
28.572154,77.393838,2.7,6.59
28.572154,77.401531,3.78,10.19
28.572154,77.409223,4.8,13.86
28.572154,77.416915,6.63,17.01
28.572154,77.424608,8.78,18.02
28.572154,77.4323,9.0,19.81
28.579846,77.3323,9.16,18.22
28.579846,77.339992,8.34,16.52
28.579846,77.347685,7.7,16.16
28.579846,77.355377,5.62,13.85
28.579846,77.363069,4.4,9.99
28.579846,77.370762,2.75,8.92
28.579846,77.378454,1.26,4.86
28.579846,77.386146,2.07,7.72
28.579846,77.393838,3.58,8.14
28.579846,77.401531,4.16,10.86
28.579846,77.409223,4.9,12.93
28.579846,77.416915,9.4,23.59
28.579846,77.424608,8.77,17.9
28.579846,77.4323,10.23,22.46
28.587538,77.3323,10.02,19.46
28.587538,77.339992,8.23,16.8
28.587538,77.347685,6.83,16.07
28.587538,77.355377,6.02,13.94
28.587538,77.363069,4.77,11.49
28.587538,77.370762,4.74,11.12
28.587538,77.378454,4.02,9.84
28.587538,77.386146,2.83,12.62
28.587538,77.393838,4.72,12.19
28.587538,77.401531,5.0,11.1
28.587538,77.409223,6.46,15.37
28.587538,77.416915,10.42,27.21
28.587538,77.424608,9.7,21.36
28.587538,77.4323,11.34,24.35
28.595231,77.3323,9.49,19.67
28.595231,77.339992,8.26,16.77
28.595231,77.347685,7.48,18.0
28.595231,77.355377,6.51,14.04
28.595231,77.363069,4.9,11.11
28.595231,77.370762,4.24,10.68
28.595231,77.378454,4.45,11.57
28.595231,77.386146,5.13,12.49
28.595231,77.393838,6.2,15.05
28.595231,77.401531,6.7,15.78
28.595231,77.409223,6.83,16.04
28.595231,77.416915,7.62,21.03
28.595231,77.424608,10.81,23.65
28.595231,77.4323,11.58,21.66
28.602923,77.3323,8.97,19.79
28.602923,77.339992,8.18,17.83
28.602923,77.347685,7.4,16.0
28.602923,77.355377,7.06,15.26
28.602923,77.363069,6.35,14.61
28.602923,77.370762,5.69,12.74
28.602923,77.378454,6.0,13.8
28.602923,77.386146,6.13,13.16
28.602923,77.393838,6.68,14.88
28.602923,77.401531,7.25,15.96
28.602923,77.409223,7.52,16.14
28.602923,77.416915,7.93,17.05
28.602923,77.424608,10.16,19.33
28.602923,77.4323,10.17,19.85
28.610615,77.3323,9.72,22.21
28.610615,77.339992,9.76,21.62
28.610615,77.347685,8.19,17.96
28.610615,77.355377,7.15,14.66
28.610615,77.363069,6.45,13.33
28.610615,77.370762,6.0,13.1
28.610615,77.378454,6.6,13.64
28.610615,77.386146,7.35,15.87
28.610615,77.393838,7.35,15.7
28.610615,77.401531,8.24,17.4
28.610615,77.409223,11.59,24.98
28.610615,77.416915,10.51,20.9
28.610615,77.424608,9.94,19.0
28.610615,77.4323,10.15,21.51
28.618308,77.3323,14.5,27.55
28.618308,77.339992,10.0,23.18
28.618308,77.347685,9.28,21.32
28.618308,77.355377,8.16,16.04
28.618308,77.363069,7.5,15.19
28.618308,77.370762,7.36,14.76
28.618308,77.378454,7.41,15.75
28.618308,77.386146,7.91,16.77
28.618308,77.393838,8.31,17.26
28.618308,77.401531,8.98,18.58
28.618308,77.409223,12.18,24.68
28.618308,77.416915,11.02,20.28
28.618308,77.424608,12.09,24.6
28.618308,77.4323,11.97,23.04
28.626,77.3323,13.21,21.99
28.626,77.339992,11.58,23.39
28.626,77.347685,9.49,19.65
28.626,77.355377,9.47,18.38
28.626,77.363069,8.07,16.41
28.626,77.370762,7.72,16.79
28.626,77.378454,7.98,16.75
28.626,77.386146,8.65,18.12
28.626,77.393838,9.47,18.24
28.626,77.401531,9.65,22.12
28.626,77.409223,12.43,24.52
28.626,77.416915,12.76,23.46
28.626,77.424608,11.85,23.95
